,id,carga,latitud,longitud,LLUVIA,mes,cluster,carga_cluster,hora_ok_08:30,hora_ok_08:45,hora_ok_09:00,hora_ok_09:15,hora_ok_09:30,DIA_OK_jueves,DIA_OK_lunes,DIA_OK_martes,DIA_OK_miercoles,DIA_OK_viernes,Semana_mes_1,Semana_mes_2,Semana_mes_3,Semana_mes_4,Semana_mes_5,tipo_via_carga_alta,tipo_via_carga_baja,tipo_via_carga_media,tipo_via_carga_muy_alta,carga_final
1989,5080,28.0,40.4070244774342,-3.68156868856319,0.0,3.0,205.0,44.471621228291454,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,28.0
1990,6574,16.0,40.49065735760529,-3.69311904419211,0.0,3.0,10.0,31.18770756124561,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,11.0
1991,4935,46.0,40.3776152219407,-3.7488465812549503,0.0,3.0,14.0,30.136393478498743,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26.0
1992,4900,21.0,40.393584664086795,-3.75817976948443,0.0,3.0,235.0,18.852931117039468,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,20.0
1994,3685,36.0,40.3882688277213,-3.7309745534579504,0.0,3.0,2.0,33.57878981400176,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,30.0
1995,6575,10.0,40.5028225704139,-3.68443570605288,0.0,3.0,161.0,39.10405967229151,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,14.0
1996,4939,19.0,40.3725800513171,-3.73849120055709,0.0,3.0,256.0,33.252742123687284,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,21.0
1997,6104,41.0,40.4843580595878,-3.6631539841748304,0.0,3.0,45.0,50.60137435380154,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,49.0
1998,4270,25.0,40.4163739068963,-3.7086260850601804,0.0,3.0,95.0,25.266674578685024,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,24.0
1999,3702,20.0,40.4133486111883,-3.7294556072741902,0.0,3.0,30.0,27.604135668230896,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,19.0
2000,4940,9.0,40.3734039965479,-3.7217693229047204,0.0,3.0,206.0,43.0205085567796,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0
2001,5360,22.0,40.3681879057222,-3.60820487184754,0.0,3.0,20.0,33.64016381866968,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.0
2002,9848,21.0,40.3617967944851,-3.7516619981303196,0.0,3.0,180.0,28.617907634307258,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.0
2003,3705,75.0,40.390707487804,-3.70993796845397,0.0,3.0,23.0,17.55182886570712,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,73.0
2004,6766,72.0,40.4386666804894,-3.73818669274457,0.0,3.0,137.0,63.448808757244045,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,62.0
2005,10010,25.0,40.4758247699944,-3.66817983660544,0.0,3.0,109.0,36.64374920351727,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,22.0
2006,3956,29.0,40.4406114802534,-3.6828468593548296,0.0,3.0,135.0,48.76216278093639,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,27.0
2007,4805,27.0,40.3770127615606,-3.6942579217136298,0.0,3.0,149.0,27.258583451254935,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,28.0
2008,4577,17.0,40.4707020676514,-3.69723755470007,0.0,3.0,63.0,32.83540770568317,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,17.0
2009,4806,23.0,40.3773153860501,-3.6961145953893197,0.0,3.0,149.0,27.258583451254935,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,22.0
